=== SHEET: 工作表 1 rows=35 cols=13 ===
表格 1												
				相对保留时间库	紫外吸收光谱库							
	数据库对照品	保留时间	参照保留时间	相对保留时间	Lambda 最大1	Lambda 最大2						
1	咪达唑仑	6.256	12.988	0.4816753926701571	227.5	/						
2	苯巴比妥	10.821	12.988	0.8331536803202957	222.7	／						
3	盐酸氯丙嗪	12.988	12.988	1	255.8	308.1						
4	艾司唑仑 	16.865	12.988	1.2985063135201724	225.1	/						
5	奥沙西泮	17.434	12.988	1.3423159839852172	228.6	312.9						
6	阿普唑仑 	17.995	12.988	1.3855097012627042	223.9	／						
7	 三 唑 仑   	19.532	12.988	1.503849707422236	225.1	／						
8	氯硝西泮  	20.114	12.988	1.548660301817062	220.4	310.5						
9	地 西 泮 	24.133	12.988	1.8580997844163845	231.0	360.1						
		A245nm	A250nm	R1(A245nm/A250nm)	A255nm	R2(A255nm/A250nm)	A260nm	R3(A260nm/A250nm)		p		
	数据库对照品	面积	面积		面积		面积					
1	咪达唑仑	1595667	1403031	1.1372998885983274	1138550	0.8114931174008272	813884	0.5800898198257914				
2	苯巴比妥	1441107	983841	1.4647763205639937	729551	0.7415334388381862	626377	0.6366648675954752		d	dd	ddd
3	盐酸氯丙嗪	3010872	4040773	0.7451227772507883	4726452	1.1696900568282356	3678992	0.9104673783951734		dd	d	ee
4	艾司唑仑 	1547526	1379153	1.1220843517724284	1032442	0.7486058472120207	720495	0.5224184698869524		ddd	ee	d
5	奥沙西泮	2064921	1815930	1.1371148667624853	1540065	0.8480861046405974	1151876	0.634317402102504				
6	阿普唑仑 	1177304	1044196	1.1274741523622003	805899	0.7717890127907021	596511	0.5712634409631908				
7	 三 唑 仑   	1568987	1291095	1.2152374534794108	951835	0.737230800212223	633825	0.49092049771705415				
8	氯硝西泮  	1407669	1376894	1.0223510306530494	1313144	0.9537001395895399	1193772	0.8670035601869135				
9	地 西 泮 	3087279	2673562	1.1547437463578551	2175960	0.8138805084752102	1720816	0.6436417034652647				
第一步					匹配结果							
相对保留时间	未知物质	保留时间	tx	tx/ts(数值匹配对照品保留时间库）	数据库中的哪种对照品
							
	参照物质	保留时间	ts									
紫外吸收光谱	未知物质	Lambda 最大1	b1	(数值匹配对照品紫外吸收光谱库）								
		Lambda 最大2	b2									
第二步												
峰面积常数	未知物质	A245nm	A250nm	R1(A245nm/A250nm)	A255nm	R2(A255nm/A250nm)	A260nm	R3(A260nm/A250nm)				
		R1,R2,R3的数值同时和数据库对照品中的数值进行比对，得出未知物质的种类										
