=== SHEET: Sheet1 rows=18 cols=17 ===
峰的最大吸收值	样品1	样品2	样品3	样品4	样品5	样品6	样品7	样品8	样品9	样品10	样品11	样品12	样品13			
峰1	225.1	225.1	225.1	225.1	225.1	225.1	225.1	226.3	226.3	226.3	226.3	226.3	226.3			
峰2	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6	228.6/273.6			
峰3	226.3/271.2	226.3/271.2	226.3/271.2	226.3/271.2	226.3/271.2	226.3/271.2	226.3/271.2	227.5/271.2	228.6/273.6	228.6/273.6	227.5/271.2	227.5/271.2	227.5/271.2			
峰4	227.5/274.8	227.5/274.8	227.5/274.8	227.5/274.8	227.5/274.8	227.5/274.8	227.5/274.8	227.5/274.8	227.5/271.2	227.5/274.8	227.5/274.8	227.5/273.6	227.5/273.6			
峰5	226.3/271.2/316.5	226.3/271.2/316.5	226.3/271.2/316.5	226.3/271.2/316.5	226.3/271.2/317.7	226.3/271.2/317.7	226.3/271.2/316.5	226.3/271.2/316.5	226.3/271.2/316.5	226.3/271.2/316.5	226.3/271.2/316.5	226.3/271.2/316.5	226.3/271.2/316.5			
峰6	241.6/285.5/332.0	241.6/285.5/332.0	241.6/285.5/332.0	241.6/285.5/332.0	241.6/285.5/332.0	241.6/285.5/332.0	241.6/284.3/330.8	241.6/284.3/330.9	241.6/284.3/330.10	241.6/284.3/330.11	241.6/284.3/330.12	241.6/284.3/330.13	241.6/284.3/330.14			
峰7	221.6/267.7	221.6/267.7	221.6/267.7	221.6/267.7	221.6/267.7	221.6/267.7	222.7/267.7	222.7/267.7	222.7/267.7	222.7/267.7	222.7/267.7	222.7/267.7	222.7/267.7			
峰8	226.3	226.3	226.3	226.3	226.3	226.3	227.5	227.5	227.5	227.5	227.5	227.5	227.5			
峰9	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5	241.6/285.5			
峰10	201.5	201.5	201.5	201.5	201.5	201.5	200.4	200.4	200.4	200.4	200.4	199.2	199.2			
峰11	239.3	239.3	239.3	239.3	239.3	239.3	238.1	238.1	238.1	238.1	238.1	239.3	239.3			
峰12	235.7/351.2	235.7/351.2	235.7/351.2	235.7/351.2	235.7/351.2	235.7/351.2	235.7/351.2	235.7/351.2	235.7/350.0	235.7/350.0	235.7/350.0	236.9/350.0	236.9/350.0			
峰13	236.9/353.6	236.9/353.6	236.9/353.6	236.9/353.6	236.9/353.6	236.9/353.6	235.7/352.4	235.7/353.6	235.7/353.6	235.7/353.6	235.7/352.4	235.7/352.4	235.7/352.4			
峰14	198.0/359.1	198.0/359.1	198.0/359.1	198.0/359.1	198.0/359.1	198.0/359.1	198.0/359.1	196.8/359.1	196.8/359.1	196.8/359.1	196.8/359.1	196.8/359.1	196.8/359.1			
峰15	203.9/240.4/353.6	203.9/240.4/353.6	203.9/240.4/353.6	203.9/240.4/353.6	203.9/240.4/353.6	203.9/240.4/353.6	203.9/240.4/353.6	203.9/240.4/353.6	203.9/240.4/352.4	203.9/240.4/353.6	203.9/240.4/353.6	203.9/240.4/353.6	203.9/239.3352.4			
注：颜色部分为色谱峰的最大吸收有两个数值或三个数值，下图为样品1的15种物质对应的最大吸收图谱																
