=== SHEET: Sheet1 rows=13 cols=17 ===
峰的最大吸收值	样品1	样品2	样品3	样品4	样品5	样品6	样品7	样品8	样品9	样品10	样品11	样品12	样品13			
峰1	230.99	232.17	232.17	232.17	232.17	232.17	232.17	232.17	232.17	232.17	232.17	232.17	232.17			
峰2	290.26	290.26	290.26	290.26	290.26	290.26	290.26	290.26	290.26	290.26	290.26	290.26	290.26			
峰3	227.45/266.49	226.3/266.49	226.3/266.49	226.3/266.49	226.3/266.49	227.45/266.49	227.45/266.50	227.45/266.51	227.45/266.52	227.45/266.53	227.45/266.49	227.45/266.49	227.45/266.49			
峰4	235.7/273.62/343.99	235.7/273.62/342.8	235.7/273.62/342.79	235.7/273.62/342.79	235.7/273.62/343.99	235.7/273.62/343.99	235.7/273.62/343.99	235.7/273.62/343.99	235.7/273.62/343.99	235.7/273.62/343.99	235.7/273.62/343.99	235.7/273.62/343.99	235.7/273.62/343.99			
峰5	230.99/275.99	230.99/275.99	230.99/275.99	230.99/275.99	230.99/275.99	230.99/275.99	230.99/275.99	230.99/275.99	230.99/275.99	230.99/275.99	230.99/275.99	230.99/274.80	230.99/274.80			
峰6	229.81/299.18	229.81/299.18	229.81/299.18	229.81/299.18	229.81/299.18	229.81/299.18	229.81/299.18	229.81/299.18	229.81/299.18	229.81/299.18	229.81/299.18	228.63/299.78	228.63/299.78			
峰7	229.81	228.63	228.63	228.63	228.63	228.63	228.63	228.63	228.63	228.63	228.63	228.63	228.63			
峰8	235.72	236.09	236.09	236.09	240.44	235.72	235.72	235.72	235.72	235.72	235.72	233.35	233.35			
峰9	238.08	238.1	239.62	238.08	238.08	238.08	238.08	238.08	238.08	238.08	238.08	238.08	238.08			
峰10	238.08	241.63	239.62	240.44	238.08	238.08	238.08	238.08	238.08	238.08	238.08	238.08	238.08			
注：颜色部分为色谱峰的最大吸收有2个或3个数值下图为样品1的10种物质对应的最大吸收图谱																
