                                               0                    1                   2                    3                    4                    5                    6                    7                    8                    9
0                                        峰的最大吸收值                  样品1                 样品2                  样品3                  样品4                  样品5                  样品6                  样品7                  样品8                  样品9
1                                             峰1               230.99              232.17               232.17               232.17               232.17               232.17               232.17               232.17               232.17
2                                             峰2               290.26              290.26               290.26               290.26               290.26               290.26               290.26               290.26               290.26
3                                             峰3        227.45/266.49        226.3/266.49         226.3/266.49         226.3/266.49         226.3/266.49        227.45/266.49        227.45/266.50        227.45/266.51        227.45/266.52
4                                             峰4  235.7/273.62/343.99  235.7/273.62/342.8  235.7/273.62/342.79  235.7/273.62/342.79  235.7/273.62/343.99  235.7/273.62/343.99  235.7/273.62/343.99  235.7/273.62/343.99  235.7/273.62/343.99
5                                             峰5        230.99/275.99       230.99/275.99        230.99/275.99        230.99/275.99        230.99/275.99        230.99/275.99        230.99/275.99        230.99/275.99        230.99/275.99
6                                             峰6        229.81/299.18       229.81/299.18        229.81/299.18        229.81/299.18        229.81/299.18        229.81/299.18        229.81/299.18        229.81/299.18        229.81/299.18
7                                             峰7               229.81              228.63               228.63               228.63               228.63               228.63               228.63               228.63               228.63
8                                             峰8               235.72              236.09               236.09               236.09               240.44               235.72               235.72               235.72               235.72
9                                             峰9               238.08               238.1               239.62               238.08               238.08               238.08               238.08               238.08               238.08
10                                           峰10               238.08              241.63               239.62               240.44               238.08               238.08               238.08               238.08               238.08
11                                           NaN                  NaN                 NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN
12  注：颜色部分为色谱峰的最大吸收有2个或3个数值下图为样品1的10种物质对应的最大吸收图谱                  NaN                 NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN
