time,absorbance
0.0000,0.7957
0.0167,0.7951
0.0334,0.7972
0.0500,0.8218
0.0667,0.7972
0.0834,0.7564
0.1001,0.8115
0.1168,0.7938
0.1334,0.7956
0.1501,0.8058
0.1668,0.8096
0.1835,0.8378
0.2002,0.8228
0.2168,0.8067
0.2335,0.7815
0.2502,0.7735
0.2669,0.8116
0.2836,0.8438
0.3003,0.8060
0.3169,0.8018
0.3336,0.8212
0.3503,0.7619
0.3670,0.7964
0.3837,0.8207
0.4003,0.8325
0.4170,0.7993
0.4337,0.8181
0.4504,0.8145
0.4671,0.8308
0.4837,0.7742
0.5004,0.8249
0.5171,0.7627
0.5338,0.7297
0.5505,0.7904
0.5671,0.7814
0.5838,0.8354
0.6005,0.8293
0.6172,0.7731
0.6339,0.8353
0.6505,0.7801
0.6672,0.8078
0.6839,0.8018
0.7006,0.8143
0.7173,0.8357
0.7339,0.8306
0.7506,0.8222
0.7673,0.8314
0.7840,0.8265
0.8007,0.7936
0.8173,0.7912
0.8340,0.7989
0.8507,0.8282
0.8674,0.8060
0.8841,0.8838
0.9008,0.7894
0.9174,0.7812
0.9341,0.8375
0.9508,0.8574
0.9675,0.8301
0.9842,0.8403
1.0008,0.8583
1.0175,0.8129
1.0342,0.7733
1.0509,0.8002
1.0676,0.8450
1.0842,0.7734
1.1009,0.8180
1.1176,0.8248
1.1343,0.8080
1.1510,0.8394
1.1676,0.8354
1.1843,0.8878
1.2010,0.8370
1.2177,0.8004
1.2344,0.8021
1.2510,0.7942
1.2677,0.8480
1.2844,0.8026
1.3011,0.8178
1.3178,0.8426
1.3344,0.7986
1.3511,0.8118
1.3678,0.7656
1.3845,0.7886
1.4012,0.8043
1.4178,0.8340
1.4345,0.8576
1.4512,0.8215
1.4679,0.8301
1.4846,0.8275
1.5013,0.8553
1.5179,0.8498
1.5346,0.8314
1.5513,0.7931
1.5680,0.8507
1.5847,0.8353
1.6013,0.8609
1.6180,0.8234
1.6347,0.8832
1.6514,0.8140
1.6681,0.8728
1.6847,0.8287
1.7014,0.8100
1.7181,0.7918
1.7348,0.8214
1.7515,0.8688
1.7681,0.8509
1.7848,0.8473
1.8015,0.7555
1.8182,0.8484
1.8349,0.8439
1.8515,0.8110
1.8682,0.8089
1.8849,0.8278
1.9016,0.8799
1.9183,0.7967
1.9349,0.8157
1.9516,0.8696
1.9683,0.8156
1.9850,0.8183
2.0017,0.8323
2.0183,0.7924
2.0350,0.8364
2.0517,0.7938
2.0684,0.8568
2.0851,0.8306
2.1018,0.8992
2.1184,0.8393
2.1351,0.8720
2.1518,0.7922
2.1685,0.8278
2.1852,0.8414
2.2018,0.8843
2.2185,0.7817
2.2352,0.8620
2.2519,0.8502
2.2686,0.8787
2.2852,0.8543
2.3019,0.8347
2.3186,0.8176
2.3353,0.7960
2.3520,0.8395
2.3686,0.8281
2.3853,0.8947
2.4020,0.8159
2.4187,0.8441
2.4354,0.7876
2.4520,0.8230
2.4687,0.8428
2.4854,0.8599
2.5021,0.8788
2.5188,0.8342
2.5354,0.8022
2.5521,0.8497
2.5688,0.8516
2.5855,0.8510
2.6022,0.8155
2.6188,0.8707
2.6355,0.8395
2.6522,0.8580
2.6689,0.8754
2.6856,0.8556
2.7023,0.8461
2.7189,0.9023
2.7356,0.8452
2.7523,0.8292
2.7690,0.8416
2.7857,0.8829
2.8023,0.8421
2.8190,0.8543
2.8357,0.8748
2.8524,0.8237
2.8691,0.7874
2.8857,0.8484
2.9024,0.8464
2.9191,0.8215
2.9358,0.8660
2.9525,0.8582
2.9691,0.8103
2.9858,0.8559
3.0025,0.8346
3.0192,0.7961
3.0359,0.8544
3.0525,0.8396
3.0692,0.8187
3.0859,0.8569
3.1026,0.8560
3.1193,0.8242
3.1359,0.8537
3.1526,0.8723
3.1693,0.8206
3.1860,0.8535
3.2027,0.8423
3.2193,0.9104
3.2360,0.7866
3.2527,0.8635
3.2694,0.8336
3.2861,0.8399
3.3028,0.9001
3.3194,0.8429
3.3361,0.9106
3.3528,0.8302
3.3695,0.8541
3.3862,0.8290
3.4028,0.8231
3.4195,0.8458
3.4362,0.8356
3.4529,0.8503
3.4696,0.7812
3.4862,0.9045
3.5029,0.8396
3.5196,0.8970
3.5363,0.8146
3.5530,0.8537
3.5696,0.9400
3.5863,0.8191
3.6030,0.8004
3.6197,0.8290
3.6364,0.8597
3.6530,0.8664
3.6697,0.8844
3.6864,0.8381
3.7031,0.7978
3.7198,0.8330
3.7364,0.8833
3.7531,0.8602
3.7698,0.7876
3.7865,0.8454
3.8032,0.8885
3.8198,0.9104
3.8365,0.8635
3.8532,0.8561
3.8699,0.8097
3.8866,0.8217
3.9033,0.8485
3.9199,0.8622
3.9366,0.8646
3.9533,0.8330
3.9700,0.8128
3.9867,0.8242
4.0033,0.8129
4.0200,0.8670
4.0367,0.7784
4.0534,0.8378
4.0701,0.8614
4.0867,0.8936
4.1034,0.8502
4.1201,0.8781
4.1368,0.8362
4.1535,0.8259
4.1701,0.8281
4.1868,0.8942
4.2035,0.8783
4.2202,0.8631
4.2369,0.9485
4.2535,0.8477
4.2702,0.8673
4.2869,0.8580
4.3036,0.8422
4.3203,0.9183
4.3369,0.8941
4.3536,0.8070
4.3703,0.8370
4.3870,0.8619
4.4037,0.8726
4.4204,0.8087
4.4370,0.7816
4.4537,0.7921
4.4704,0.8472
4.4871,0.8463
4.5038,0.8598
4.5204,0.8263
4.5371,0.8127
4.5538,0.7888
4.5705,0.8594
4.5872,0.8607
4.6038,0.8794
4.6205,0.8734
4.6372,0.8440
4.6539,0.8902
4.6706,0.8456
4.6872,0.8299
4.7039,0.8342
4.7206,0.8323
4.7373,0.7849
4.7540,0.8545
4.7706,0.8574
4.7873,0.8390
4.8040,0.8285
4.8207,0.8611
4.8374,0.9014
4.8540,0.8511
4.8707,0.8347
4.8874,0.8322
4.9041,0.8479
4.9208,0.8120
4.9374,0.8462
4.9541,0.8518
4.9708,0.9053
4.9875,0.8783
5.0042,0.8810
5.0209,0.8286
5.0375,0.8701
5.0542,0.8158
5.0709,0.8593
5.0876,0.8625
5.1043,0.8270
5.1209,0.9099
5.1376,0.8670
5.1543,0.7929
5.1710,0.8665
5.1877,0.8377
5.2043,0.8499
5.2210,0.8639
5.2377,0.8616
5.2544,0.7887
5.2711,0.8151
5.2877,0.8730
5.3044,0.8888
5.3211,0.9068
5.3378,0.9038
5.3545,0.7880
5.3711,0.8727
5.3878,0.7921
5.4045,0.8980
5.4212,0.8572
5.4379,0.8153
5.4545,0.9098
5.4712,0.8688
5.4879,0.7927
5.5046,0.8582
5.5213,0.8274
5.5379,0.8526
5.5546,0.8353
5.5713,0.8904
5.5880,0.8065
5.6047,0.8586
5.6214,0.9035
5.6380,0.8242
5.6547,0.8553
5.6714,0.8550
5.6881,0.8281
5.7048,0.8682
5.7214,0.8516
5.7381,0.8203
5.7548,0.9015
5.7715,0.8723
5.7882,0.8435
5.8048,0.8293
5.8215,0.8248
5.8382,0.8852
5.8549,0.8438
5.8716,0.8619
5.8882,0.8425
5.9049,0.8665
5.9216,0.8444
5.9383,0.8708
5.9550,0.8423
5.9716,0.8726
5.9883,0.8678
6.0050,0.8440
6.0217,0.8217
6.0384,0.8192
6.0550,0.8251
6.0717,0.8177
6.0884,0.8731
6.1051,0.8456
6.1218,0.8940
6.1384,0.9152
6.1551,0.8475
6.1718,0.8002
6.1885,0.8351
6.2052,0.8442
6.2219,0.8017
6.2385,0.8387
6.2552,0.8548
6.2719,0.8323
6.2886,0.8229
6.3053,0.8231
6.3219,0.8994
6.3386,0.8409
6.3553,0.8206
6.3720,0.8342
6.3887,0.8739
6.4053,0.8247
6.4220,0.8595
6.4387,0.8668
6.4554,0.8673
6.4721,0.8867
6.4887,0.8281
6.5054,0.8785
6.5221,0.8206
6.5388,0.8324
6.5555,0.8800
6.5721,0.8687
6.5888,0.8440
6.6055,0.8080
6.6222,0.8605
6.6389,0.8246
6.6555,0.8157
6.6722,0.8238
6.6889,0.8505
6.7056,0.7794
6.7223,0.8537
6.7389,0.8479
6.7556,0.8250
6.7723,0.8736
6.7890,0.8607
6.8057,0.8240
6.8224,0.8219
6.8390,0.8627
6.8557,0.7963
6.8724,0.8316
