time,absorbance
0.000,0.7650
0.025,0.2925
0.050,0.5952
0.075,0.6324
0.100,0.5631
0.125,0.7055
0.150,0.5382
0.175,0.6951
0.200,0.2170
0.225,0.2273
0.250,0.5849
0.275,0.5461
0.300,0.5907
0.325,0.6602
0.350,0.4500
0.375,0.5834
0.401,0.4988
0.426,0.5763
0.451,0.3738
0.476,0.7740
0.501,0.4898
0.526,0.6828
0.551,0.6110
0.576,0.3785
0.601,0.2438
0.626,0.2359
0.651,0.4638
0.676,0.4906
0.701,0.3224
0.726,0.5640
0.751,0.3875
0.776,0.6310
0.801,0.6405
0.826,0.7165
0.851,0.7852
0.876,0.2785
0.901,0.4223
0.926,0.5370
0.951,0.3915
0.976,0.4799
1.001,0.3605
1.026,0.3488
1.051,0.2581
1.076,0.3741
1.101,0.4305
1.126,0.5692
1.151,0.3490
1.176,0.7192
1.202,0.2958
1.227,0.3965
1.252,0.5466
1.277,0.3876
1.302,0.6579
1.327,0.4990
1.352,0.5088
1.377,0.4993
1.402,0.3851
1.427,0.2139
1.452,0.7671
1.477,0.5033
1.502,0.7800
1.527,0.3291
1.552,0.4117
1.577,0.2303
1.602,0.4969
1.627,0.7294
1.652,0.5926
1.677,0.4824
1.702,0.5220
1.727,0.7083
1.752,0.4586
1.777,0.7295
1.802,0.6365
1.827,0.6583
1.852,0.4196
1.877,0.4403
1.902,0.5422
1.927,0.3168
1.952,0.5319
1.977,0.2441
2.003,0.5026
2.028,0.6586
2.053,0.3678
2.078,0.7935
2.103,0.6082
2.128,0.2713
2.153,0.7850
2.178,0.4363
2.203,0.6769
2.228,0.4035
2.253,0.7634
2.278,0.6530
2.303,0.3194
2.328,0.5055
2.353,0.5000
2.378,0.2272
2.403,0.2822
2.428,0.3998
2.453,0.4842
2.478,0.4742
2.503,0.5638
2.528,0.5093
2.553,0.3968
2.578,0.5678
2.603,0.2975
2.628,0.7944
2.653,0.6436
2.678,0.3795
2.703,0.4018
2.728,0.6970
2.753,0.5194
2.778,0.6252
2.804,0.3799
2.829,0.6894
2.854,0.4210
2.879,0.6043
2.904,0.7879
2.929,0.5502
2.954,0.6781
2.979,0.6352
