time,absorbance
0.0000,0.8167
0.0167,0.7755
0.0334,0.7592
0.0500,0.7750
0.0667,0.7737
0.0834,0.8223
0.1001,0.7824
0.1168,0.8323
0.1334,0.8256
0.1501,0.8440
0.1668,0.8386
0.1835,0.8343
0.2002,0.8339
0.2168,0.7827
0.2335,0.7932
0.2502,0.7307
0.2669,0.8159
0.2836,0.7775
0.3003,0.8208
0.3169,0.8261
0.3336,0.7511
0.3503,0.7649
0.3670,0.7918
0.3837,0.7853
0.4003,0.8130
0.4170,0.7603
0.4337,0.8087
0.4504,0.7395
0.4671,0.7211
0.4837,0.8362
0.5004,0.7556
0.5171,0.7857
0.5338,0.7517
0.5505,0.7522
0.5671,0.7929
0.5838,0.7927
0.6005,0.8487
0.6172,0.8276
0.6339,0.7994
0.6505,0.8405
0.6672,0.8551
0.6839,0.8271
0.7006,0.7947
0.7173,0.8519
0.7339,0.8822
0.7506,0.8381
0.7673,0.8828
0.7840,0.8493
0.8007,0.8464
0.8173,0.7691
0.8340,0.7684
0.8507,0.8112
0.8674,0.7467
0.8841,0.7900
0.9008,0.8487
0.9174,0.7876
0.9341,0.8358
0.9508,0.7607
0.9675,0.7952
0.9842,0.8562
1.0008,0.8238
1.0175,0.8273
1.0342,0.8841
1.0509,0.8681
1.0676,0.7814
1.0842,0.8694
1.1009,0.7923
1.1176,0.8165
1.1343,0.8181
1.1510,0.8606
1.1676,0.7728
1.1843,0.8363
1.2010,0.8394
1.2177,0.8511
1.2344,0.8105
1.2510,0.8593
1.2677,0.7909
1.2844,0.8655
1.3011,0.8340
1.3178,0.7641
1.3344,0.8367
1.3511,0.8278
1.3678,0.8066
1.3845,0.7916
1.4012,0.8117
1.4178,0.7639
1.4345,0.8894
1.4512,0.7769
1.4679,0.7958
1.4846,0.8683
1.5013,0.8461
1.5179,0.8518
1.5346,0.8839
1.5513,0.8109
1.5680,0.7818
1.5847,0.8576
1.6013,0.8560
1.6180,0.8113
1.6347,0.7739
1.6514,0.8744
1.6681,0.8481
1.6847,0.7703
1.7014,0.8567
1.7181,0.7681
1.7348,0.8066
1.7515,0.7812
1.7681,0.8009
1.7848,0.7933
1.8015,0.8023
1.8182,0.8560
