time,absorbance
0.0000,0.0789
0.0100,0.0798
0.0200,0.0791
0.0300,0.1075
0.0400,0.0939
0.0500,0.1225
0.0600,0.0860
0.0700,0.1320
0.0800,0.1181
0.0900,0.0845
0.1000,0.0591
0.1100,0.0966
0.1200,0.0954
0.1300,0.1029
0.1400,0.1050
0.1501,0.1188
0.1601,0.1092
0.1701,0.1037
0.1801,0.1280
0.1901,0.0807
0.2001,0.1261
0.2101,0.0626
0.2201,0.0871
0.2301,0.0629
0.2401,0.0956
0.2501,0.1053
0.2601,0.1047
0.2701,0.1006
0.2801,0.0919
0.2901,0.0666
0.3001,0.1176
0.3101,0.0866
0.3201,0.0662
0.3301,0.1162
0.3401,0.1222
0.3501,0.1215
0.3601,0.0949
0.3701,0.0907
0.3801,0.0700
0.3901,0.0843
0.4001,0.0575
0.4101,0.1087
0.4201,0.1262
0.4301,0.0945
0.4401,0.0640
0.4502,0.0989
0.4602,0.1069
0.4702,0.0989
0.4802,0.1239
0.4902,0.0957
0.5002,0.1200
0.5102,0.0802
0.5202,0.1017
0.5302,0.0950
0.5402,0.1347
0.5502,0.1016
0.5602,0.1052
0.5702,0.0631
0.5802,0.1346
0.5902,0.1021
0.6002,0.1032
0.6102,0.1048
0.6202,0.0609
0.6302,0.1068
0.6402,0.1047
0.6502,0.1515
0.6602,0.1047
0.6702,0.0768
0.6802,0.0956
0.6902,0.0866
0.7002,0.0962
0.7102,0.1002
0.7202,0.0801
0.7302,0.1039
0.7402,0.0712
0.7503,0.0875
0.7603,0.0981
0.7703,0.0951
0.7803,0.0873
0.7903,0.0969
0.8003,0.1519
0.8103,0.0902
0.8203,0.0885
0.8303,0.0880
0.8403,0.1395
0.8503,0.1074
0.8603,0.0832
0.8703,0.1351
0.8803,0.0941
0.8903,0.0790
0.9003,0.1206
0.9103,0.0946
0.9203,0.0813
0.9303,0.0771
0.9403,0.0594
0.9503,0.1167
0.9603,0.1170
0.9703,0.1131
0.9803,0.0893
0.9903,0.0573
1.0003,0.1078
1.0103,0.0725
1.0203,0.1289
1.0303,0.0699
1.0403,0.1194
1.0504,0.1049
1.0604,0.0938
1.0704,0.1113
1.0804,0.1141
1.0904,0.0929
1.1004,0.0916
1.1104,0.0755
1.1204,0.0864
1.1304,0.0966
1.1404,0.0867
1.1504,0.1165
1.1604,0.0997
1.1704,0.1049
1.1804,0.1425
1.1904,0.1173
1.2004,0.0836
1.2104,0.0960
1.2204,0.1281
1.2304,0.0970
1.2404,0.0872
1.2504,0.0958
1.2604,0.0925
1.2704,0.1050
1.2804,0.0949
1.2904,0.1385
1.3004,0.1033
1.3104,0.1118
1.3204,0.1375
1.3304,0.1186
1.3404,0.1069
1.3505,0.1015
1.3605,0.1056
1.3705,0.0714
1.3805,0.0784
1.3905,0.0721
1.4005,0.1245
1.4105,0.0925
1.4205,0.1101
1.4305,0.0977
1.4405,0.1250
1.4505,0.1096
1.4605,0.0988
1.4705,0.1038
1.4805,0.0939
1.4905,0.1096
1.5005,0.1108
1.5105,0.1418
1.5205,0.1056
1.5305,0.0809
1.5405,0.1283
1.5505,0.1300
1.5605,0.0884
1.5705,0.0970
1.5805,0.1090
1.5905,0.0737
1.6005,0.1161
1.6105,0.0964
1.6205,0.0663
1.6305,0.0872
1.6405,0.1371
1.6506,0.1214
1.6606,0.0807
1.6706,0.0603
1.6806,0.0933
1.6906,0.0500
1.7006,0.1086
1.7106,0.1185
1.7206,0.0908
1.7306,0.1542
1.7406,0.1124
1.7506,0.1100
1.7606,0.1209
1.7706,0.0744
1.7806,0.1089
1.7906,0.1030
1.8006,0.0801
1.8106,0.1132
1.8206,0.1206
1.8306,0.0710
1.8406,0.0895
1.8506,0.1213
1.8606,0.0882
1.8706,0.1067
1.8806,0.1000
1.8906,0.0876
1.9006,0.0806
1.9106,0.1121
1.9206,0.0906
1.9306,0.1356
1.9406,0.1319
1.9507,0.1252
1.9607,0.0991
1.9707,0.0819
1.9807,0.1006
1.9907,0.0944
2.0007,0.0784
2.0107,0.1038
