time,absorbance
0.0000,0.5047
0.0070,0.5183
0.0140,0.4636
0.0210,0.4554
0.0280,0.4523
0.0350,0.4637
0.0420,0.5189
0.0490,0.5516
0.0560,0.4828
0.0630,0.4976
0.0700,0.5129
0.0770,0.4626
0.0840,0.4031
0.0910,0.4520
0.0980,0.4740
0.1050,0.6431
0.1120,0.5467
0.1190,0.5419
0.1260,0.4976
0.1330,0.5898
0.1400,0.4633
0.1470,0.4170
0.1540,0.4986
0.1610,0.4894
0.1680,0.4302
0.1750,0.4845
0.1820,0.6196
0.1890,0.6175
0.1960,0.6365
0.2030,0.4512
0.2100,0.5583
0.2170,0.5095
0.2240,0.4861
0.2310,0.5188
0.2380,0.4982
0.2450,0.5351
0.2521,0.5184
0.2591,0.5418
0.2661,0.5026
0.2731,0.5112
0.2801,0.5197
0.2871,0.4851
0.2941,0.4940
0.3011,0.5204
0.3081,0.6336
0.3151,0.5149
0.3221,0.5276
0.3291,0.4984
0.3361,0.5341
0.3431,0.5636
0.3501,0.5223
0.3571,0.5389
0.3641,0.4391
0.3711,0.4944
0.3781,0.5658
0.3851,0.5132
0.3921,0.6465
0.3991,0.5283
0.4061,0.4592
0.4131,0.5391
0.4201,0.4550
0.4271,0.5458
0.4341,0.3888
0.4411,0.4674
0.4481,0.3896
0.4551,0.4412
0.4621,0.5797
0.4691,0.3332
0.4761,0.5769
0.4831,0.4747
0.4901,0.4404
0.4971,0.5734
0.5041,0.5111
0.5111,0.4943
0.5181,0.4423
0.5251,0.5433
0.5321,0.5298
0.5391,0.5265
0.5461,0.3997
0.5531,0.5198
0.5601,0.5615
0.5671,0.5531
0.5741,0.4862
0.5811,0.5061
0.5881,0.5670
0.5951,0.5561
0.6021,0.4866
0.6091,0.4691
0.6161,0.4871
0.6231,0.5414
0.6301,0.4496
0.6371,0.5807
0.6441,0.6250
0.6511,0.6232
0.6581,0.5024
0.6651,0.4620
0.6721,0.5139
0.6791,0.2598
0.6861,0.5099
0.6931,0.5551
0.7001,0.6156
0.7071,0.4449
0.7141,0.5118
0.7211,0.5580
0.7281,0.4824
0.7351,0.4381
0.7421,0.4937
0.7491,0.4714
0.7562,0.5049
0.7632,0.4760
0.7702,0.5346
0.7772,0.5619
0.7842,0.5105
0.7912,0.4781
0.7982,0.5369
0.8052,0.4974
0.8122,0.5099
0.8192,0.4910
0.8262,0.5236
0.8332,0.4847
0.8402,0.4949
0.8472,0.5969
0.8542,0.5692
0.8612,0.3970
0.8682,0.3636
0.8752,0.5084
0.8822,0.6059
0.8892,0.5209
0.8962,0.4712
0.9032,0.4405
0.9102,0.4850
0.9172,0.4630
0.9242,0.4067
0.9312,0.4047
0.9382,0.5922
0.9452,0.4177
0.9522,0.6196
0.9592,0.5198
0.9662,0.4760
0.9732,0.4718
0.9802,0.5394
0.9872,0.5843
0.9942,0.4447
1.0012,0.5239
1.0082,0.4057
1.0152,0.4291
1.0222,0.4744
1.0292,0.4972
1.0362,0.4697
1.0432,0.5071
1.0502,0.5163
1.0572,0.5007
1.0642,0.4712
1.0712,0.4329
1.0782,0.4886
1.0852,0.4988
1.0922,0.5144
1.0992,0.5111
1.1062,0.3931
1.1132,0.5188
1.1202,0.5192
1.1272,0.3951
1.1342,0.4614
1.1412,0.5077
1.1482,0.4398
1.1552,0.4778
1.1622,0.4625
1.1692,0.4570
1.1762,0.5124
1.1832,0.5042
1.1902,0.5350
1.1972,0.4673
1.2042,0.4811
1.2112,0.4781
1.2182,0.4984
1.2252,0.4533
1.2322,0.5556
1.2392,0.5352
1.2462,0.5775
1.2533,0.5410
1.2603,0.4163
1.2673,0.5316
1.2743,0.4751
1.2813,0.6192
1.2883,0.4199
1.2953,0.3803
1.3023,0.4451
1.3093,0.5488
1.3163,0.5680
1.3233,0.3962
1.3303,0.5526
1.3373,0.5131
1.3443,0.4517
1.3513,0.4839
1.3583,0.5232
1.3653,0.5785
1.3723,0.4558
1.3793,0.4828
1.3863,0.4776
1.3933,0.3751
1.4003,0.4517
1.4073,0.4864
1.4143,0.5490
1.4213,0.4452
1.4283,0.4970
1.4353,0.5078
1.4423,0.4619
1.4493,0.5836
1.4563,0.5403
1.4633,0.4766
1.4703,0.6167
1.4773,0.5403
1.4843,0.4698
1.4913,0.5035
1.4983,0.4752
1.5053,0.4765
1.5123,0.5500
1.5193,0.4471
1.5263,0.4978
1.5333,0.5053
1.5403,0.5281
1.5473,0.5426
1.5543,0.4763
1.5613,0.4615
1.5683,0.4777
1.5753,0.4978
1.5823,0.4834
1.5893,0.4783
1.5963,0.5295
1.6033,0.5008
1.6103,0.4915
1.6173,0.4668
1.6243,0.5857
1.6313,0.4901
1.6383,0.5124
1.6453,0.5422
1.6523,0.4949
1.6593,0.4874
1.6663,0.3859
1.6733,0.5275
1.6803,0.4591
1.6873,0.4641
1.6943,0.5778
1.7013,0.6244
1.7083,0.4733
1.7153,0.6547
1.7223,0.5176
1.7293,0.3607
1.7363,0.4931
1.7433,0.4860
1.7504,0.4439
1.7574,0.5376
1.7644,0.4688
1.7714,0.4009
1.7784,0.5419
1.7854,0.4288
1.7924,0.4361
1.7994,0.4830
1.8064,0.4691
1.8134,0.4559
1.8204,0.4238
1.8274,0.5435
1.8344,0.5427
1.8414,0.4574
1.8484,0.6561
1.8554,0.4784
1.8624,0.5226
1.8694,0.5792
1.8764,0.4658
1.8834,0.4134
1.8904,0.4768
1.8974,0.5637
1.9044,0.5446
1.9114,0.5209
1.9184,0.4864
1.9254,0.6164
1.9324,0.5131
1.9394,0.5141
1.9464,0.4539
1.9534,0.5349
1.9604,0.5122
1.9674,0.5568
1.9744,0.5444
1.9814,0.4959
1.9884,0.4445
1.9954,0.4788
2.0024,0.4592
2.0094,0.6452
2.0164,0.6035
2.0234,0.4167
2.0304,0.4675
2.0374,0.5738
2.0444,0.4084
2.0514,0.4582
2.0584,0.3914
2.0654,0.4684
2.0724,0.4750
2.0794,0.5242
2.0864,0.3039
2.0934,0.4884
2.1004,0.5560
2.1074,0.4969
2.1144,0.5583
2.1214,0.5203
2.1284,0.4394
2.1354,0.4787
2.1424,0.4077
2.1494,0.5660
2.1564,0.5758
2.1634,0.4464
2.1704,0.5016
2.1774,0.4731
2.1844,0.4808
2.1914,0.3335
2.1984,0.5226
2.2054,0.4557
2.2124,0.4692
2.2194,0.5360
2.2264,0.5218
2.2334,0.4084
2.2404,0.5035
2.2474,0.5441
2.2545,0.3640
2.2615,0.5007
2.2685,0.5211
2.2755,0.5638
2.2825,0.5364
2.2895,0.4755
2.2965,0.5185
2.3035,0.6174
2.3105,0.5405
2.3175,0.5031
2.3245,0.5869
2.3315,0.5111
2.3385,0.5251
2.3455,0.4956
2.3525,0.5544
2.3595,0.4707
2.3665,0.5847
2.3735,0.5544
2.3805,0.4471
2.3875,0.5611
2.3945,0.4884
2.4015,0.5330
2.4085,0.5139
2.4155,0.5398
2.4225,0.5259
2.4295,0.4855
2.4365,0.4443
2.4435,0.5664
2.4505,0.4690
2.4575,0.5851
2.4645,0.5363
2.4715,0.5945
2.4785,0.4765
2.4855,0.4549
2.4925,0.4700
2.4995,0.4777
2.5065,0.4331
2.5135,0.4012
2.5205,0.5002
2.5275,0.4385
2.5345,0.4677
2.5415,0.4884
2.5485,0.3656
2.5555,0.5245
2.5625,0.4666
2.5695,0.5311
2.5765,0.4069
2.5835,0.5538
2.5905,0.4497
2.5975,0.3752
2.6045,0.5279
2.6115,0.4112
2.6185,0.4565
2.6255,0.5873
2.6325,0.4349
2.6395,0.4963
2.6465,0.5640
2.6535,0.4292
2.6605,0.5005
2.6675,0.4899
2.6745,0.4655
2.6815,0.4270
2.6885,0.4685
2.6955,0.5040
2.7025,0.4400
2.7095,0.5565
2.7165,0.4092
2.7235,0.5119
2.7305,0.5968
2.7375,0.4993
2.7445,0.4339
2.7516,0.4864
2.7586,0.5159
2.7656,0.4506
2.7726,0.3768
2.7796,0.4674
2.7866,0.3633
2.7936,0.5404
2.8006,0.6215
2.8076,0.5191
2.8146,0.4907
2.8216,0.4423
2.8286,0.4510
2.8356,0.4767
2.8426,0.5925
2.8496,0.4603
2.8566,0.4426
2.8636,0.4130
2.8706,0.4677
2.8776,0.5907
2.8846,0.5119
2.8916,0.4873
2.8986,0.4975
2.9056,0.5094
2.9126,0.5370
2.9196,0.4951
2.9266,0.6109
2.9336,0.4504
2.9406,0.5805
2.9476,0.5257
2.9546,0.6023
2.9616,0.3468
2.9686,0.4904
