time,absorbance
0.0000,0.0625
0.0100,0.0920
0.0200,0.1227
0.0300,0.1264
0.0400,0.0979
0.0500,0.1067
0.0600,0.1125
0.0700,0.0967
0.0800,0.1271
0.0900,0.0881
0.1000,0.1121
0.1100,0.0723
0.1200,0.0884
0.1300,0.1105
0.1400,0.1321
0.1501,0.0893
0.1601,0.0813
0.1701,0.1309
0.1801,0.0675
0.1901,0.1078
0.2001,0.0500
0.2101,0.0523
0.2201,0.0703
0.2301,0.0945
0.2401,0.1127
0.2501,0.1038
0.2601,0.1063
0.2701,0.1083
0.2801,0.0889
0.2901,0.1287
0.3001,0.1358
0.3101,0.1042
0.3201,0.0955
0.3301,0.0858
0.3401,0.0688
0.3501,0.0985
0.3601,0.1227
0.3701,0.0993
0.3801,0.0970
0.3901,0.1165
0.4001,0.1167
0.4101,0.0859
0.4201,0.1054
0.4301,0.1191
0.4401,0.1157
0.4502,0.1057
0.4602,0.1058
0.4702,0.1200
0.4802,0.0518
0.4902,0.1043
0.5002,0.1365
0.5102,0.0878
0.5202,0.1271
0.5302,0.1230
0.5402,0.1038
0.5502,0.1025
0.5602,0.0608
0.5702,0.1164
0.5802,0.1128
0.5902,0.1099
0.6002,0.0799
0.6102,0.1062
0.6202,0.1111
0.6302,0.0862
0.6402,0.0733
0.6502,0.1169
0.6602,0.0931
0.6702,0.0854
0.6802,0.1196
0.6902,0.0876
0.7002,0.1270
0.7102,0.1020
0.7202,0.1038
0.7302,0.1147
0.7402,0.1098
0.7503,0.1017
0.7603,0.0995
0.7703,0.0982
0.7803,0.1212
0.7903,0.0838
0.8003,0.0964
0.8103,0.1331
0.8203,0.1009
0.8303,0.0806
0.8403,0.1346
0.8503,0.0915
0.8603,0.1353
0.8703,0.1030
0.8803,0.0539
0.8903,0.0739
0.9003,0.0973
0.9103,0.0932
0.9203,0.0966
0.9303,0.1075
0.9403,0.1078
0.9503,0.0977
0.9603,0.1029
0.9703,0.1581
0.9803,0.1031
0.9903,0.1308
1.0003,0.0955
1.0103,0.0815
1.0203,0.1096
1.0303,0.1014
1.0403,0.0985
1.0504,0.1126
1.0604,0.0707
1.0704,0.0960
1.0804,0.0755
1.0904,0.0673
1.1004,0.1196
1.1104,0.1391
1.1204,0.1142
1.1304,0.1106
1.1404,0.1389
1.1504,0.1440
1.1604,0.0667
1.1704,0.0669
1.1804,0.1172
1.1904,0.0844
1.2004,0.1315
1.2104,0.0960
1.2204,0.1245
1.2304,0.0947
1.2404,0.1134
1.2504,0.0678
1.2604,0.1003
1.2704,0.1143
1.2804,0.1191
1.2904,0.0790
1.3004,0.0803
1.3104,0.1114
1.3204,0.1233
1.3304,0.1065
1.3404,0.0980
1.3505,0.0971
1.3605,0.1094
1.3705,0.0795
1.3805,0.0967
1.3905,0.0720
1.4005,0.1029
1.4105,0.0860
1.4205,0.1586
1.4305,0.0879
1.4405,0.1202
1.4505,0.1016
1.4605,0.1274
1.4705,0.0877
1.4805,0.1267
1.4905,0.0855
1.5005,0.1201
1.5105,0.1100
1.5205,0.1263
1.5305,0.0802
1.5405,0.0879
1.5505,0.1093
1.5605,0.1140
1.5705,0.1037
1.5805,0.1092
1.5905,0.1043
1.6005,0.0889
1.6105,0.1075
1.6205,0.1077
1.6305,0.0932
1.6405,0.1078
1.6506,0.1152
1.6606,0.1029
1.6706,0.1089
1.6806,0.1134
1.6906,0.1039
1.7006,0.1311
1.7106,0.0902
1.7206,0.0920
1.7306,0.1010
1.7406,0.1038
1.7506,0.1174
1.7606,0.1272
1.7706,0.0933
1.7806,0.1190
1.7906,0.0925
1.8006,0.1092
1.8106,0.0931
1.8206,0.1074
1.8306,0.1036
1.8406,0.0570
1.8506,0.0862
1.8606,0.1035
1.8706,0.0632
1.8806,0.0726
1.8906,0.0873
1.9006,0.1011
1.9106,0.1156
1.9206,0.1226
1.9306,0.0887
1.9406,0.1226
1.9507,0.0694
1.9607,0.0716
1.9707,0.1026
1.9807,0.0500
1.9907,0.0977
2.0007,0.1410
2.0107,0.0730
2.0207,0.0915
2.0307,0.0712
2.0407,0.0977
2.0507,0.0995
2.0607,0.0932
2.0707,0.1050
2.0807,0.1123
2.0907,0.1240
2.1007,0.0561
2.1107,0.0963
2.1207,0.0836
2.1307,0.1105
2.1407,0.0743
2.1507,0.1047
2.1607,0.0933
2.1707,0.1066
2.1807,0.1114
2.1907,0.0870
2.2007,0.0598
2.2107,0.1281
2.2207,0.1108
2.2307,0.1346
2.2407,0.1132
2.2508,0.0704
2.2608,0.1025
2.2708,0.1411
2.2808,0.0903
2.2908,0.0929
2.3008,0.0831
2.3108,0.1424
2.3208,0.0965
2.3308,0.0946
2.3408,0.1106
2.3508,0.1081
2.3608,0.1006
2.3708,0.1098
