time,absorbance
0.0000,0.5311
0.0064,0.5062
0.0128,0.5079
0.0192,0.3972
0.0256,0.5225
0.0320,0.4900
0.0384,0.5735
0.0448,0.5013
0.0512,0.5790
0.0576,0.4940
0.0640,0.4050
0.0704,0.5305
0.0768,0.5848
0.0832,0.5887
0.0896,0.5315
0.0960,0.5559
0.1024,0.3174
0.1088,0.6638
0.1152,0.4017
0.1216,0.3962
0.1280,0.5454
0.1344,0.4966
0.1408,0.5640
0.1472,0.4881
0.1536,0.5476
0.1600,0.4456
0.1664,0.5729
0.1728,0.4956
0.1792,0.5072
0.1856,0.6017
0.1920,0.5467
0.1984,0.5218
0.2048,0.5198
0.2112,0.4125
0.2176,0.5831
0.2240,0.3862
0.2304,0.5091
0.2368,0.4525
0.2432,0.4912
0.2496,0.5572
0.2561,0.4362
0.2625,0.5165
0.2689,0.4967
0.2753,0.6179
0.2817,0.6077
0.2881,0.4555
0.2945,0.4412
0.3009,0.5382
0.3073,0.4815
0.3137,0.4797
0.3201,0.5701
0.3265,0.4715
0.3329,0.4188
0.3393,0.4261
0.3457,0.4644
0.3521,0.4618
0.3585,0.4672
0.3649,0.5404
0.3713,0.5450
0.3777,0.5231
0.3841,0.4704
0.3905,0.3805
0.3969,0.5165
0.4033,0.5679
0.4097,0.4808
0.4161,0.5081
0.4225,0.4421
0.4289,0.5025
0.4353,0.6578
0.4417,0.5025
0.4481,0.4942
0.4545,0.4208
0.4609,0.5411
0.4673,0.5092
0.4737,0.4845
0.4801,0.4289
0.4865,0.5056
0.4929,0.5161
0.4993,0.5300
0.5057,0.5150
0.5121,0.4436
0.5185,0.4407
0.5249,0.4893
0.5313,0.5549
0.5377,0.4802
0.5441,0.5335
0.5505,0.4930
0.5569,0.5383
0.5633,0.4709
0.5697,0.5046
0.5761,0.6205
0.5825,0.4898
0.5889,0.5286
0.5953,0.3641
0.6017,0.4550
0.6081,0.4999
0.6145,0.5137
0.6209,0.5621
0.6273,0.5466
0.6337,0.5725
0.6401,0.5850
0.6465,0.5002
0.6529,0.5880
0.6593,0.4537
0.6657,0.4982
0.6721,0.5680
0.6785,0.5687
0.6849,0.4609
0.6913,0.5523
0.6977,0.4567
0.7041,0.5947
0.7105,0.6475
0.7169,0.4219
0.7233,0.3791
0.7297,0.4428
0.7361,0.4452
0.7425,0.5777
0.7489,0.4386
0.7554,0.4522
0.7618,0.5589
0.7682,0.4970
0.7746,0.6120
0.7810,0.4222
0.7874,0.4306
0.7938,0.4814
0.8002,0.4299
0.8066,0.5089
0.8130,0.4396
0.8194,0.4770
0.8258,0.4233
0.8322,0.5033
0.8386,0.4195
0.8450,0.6600
0.8514,0.4410
0.8578,0.3817
0.8642,0.5784
0.8706,0.4976
0.8770,0.4119
0.8834,0.4646
0.8898,0.5904
0.8962,0.4964
0.9026,0.4649
0.9090,0.5258
0.9154,0.5114
0.9218,0.5949
0.9282,0.4241
0.9346,0.5363
0.9410,0.5019
0.9474,0.4957
0.9538,0.4744
0.9602,0.4163
0.9666,0.5263
0.9730,0.5141
0.9794,0.6190
0.9858,0.4909
0.9922,0.4893
0.9986,0.5772
1.0050,0.4945
1.0114,0.4944
1.0178,0.6388
1.0242,0.5777
1.0306,0.4822
1.0370,0.4931
1.0434,0.4545
1.0498,0.4116
1.0562,0.5314
1.0626,0.4588
1.0690,0.5447
1.0754,0.4421
1.0818,0.4127
1.0882,0.6356
1.0946,0.5752
1.1010,0.5132
1.1074,0.5380
1.1138,0.5640
1.1202,0.4786
1.1266,0.4926
1.1330,0.4645
1.1394,0.5574
1.1458,0.4996
1.1522,0.3624
1.1586,0.4831
1.1650,0.4798
1.1714,0.4725
1.1778,0.4691
1.1842,0.5593
1.1906,0.5268
1.1970,0.3750
1.2034,0.4404
1.2098,0.4538
1.2162,0.5877
1.2226,0.4314
1.2290,0.5054
1.2354,0.5774
1.2418,0.4264
1.2482,0.4761
1.2547,0.4331
1.2611,0.4836
1.2675,0.3575
1.2739,0.5349
1.2803,0.4777
1.2867,0.3907
1.2931,0.5404
1.2995,0.5131
1.3059,0.5065
1.3123,0.4858
1.3187,0.4224
1.3251,0.5276
1.3315,0.6036
1.3379,0.4399
1.3443,0.4861
1.3507,0.4887
1.3571,0.4595
1.3635,0.4009
1.3699,0.5677
1.3763,0.5147
1.3827,0.5556
1.3891,0.5237
1.3955,0.5021
1.4019,0.4242
1.4083,0.5025
1.4147,0.4160
1.4211,0.5483
1.4275,0.4295
1.4339,0.5285
