time,absorbance
0.0000,0.4788
0.0064,0.5694
0.0128,0.4156
0.0192,0.5483
0.0256,0.5270
0.0320,0.4117
0.0384,0.4537
0.0448,0.6316
0.0512,0.4861
0.0576,0.5615
0.0640,0.5572
0.0704,0.5821
0.0768,0.4628
0.0832,0.5711
0.0896,0.5116
0.0960,0.5075
0.1024,0.5036
0.1088,0.4420
0.1152,0.5520
0.1216,0.4280
0.1280,0.5172
0.1344,0.5236
0.1408,0.5274
0.1472,0.4782
0.1536,0.5067
0.1600,0.5612
0.1664,0.5311
0.1728,0.4287
0.1792,0.5154
0.1856,0.4263
0.1920,0.3162
0.1984,0.5585
0.2048,0.5423
0.2112,0.4931
0.2176,0.3795
0.2240,0.5482
0.2304,0.5413
0.2368,0.5004
0.2432,0.5016
0.2496,0.5799
0.2561,0.5158
0.2625,0.4142
0.2689,0.4494
0.2753,0.5629
0.2817,0.5126
0.2881,0.4266
0.2945,0.4683
0.3009,0.5659
0.3073,0.3718
0.3137,0.4025
0.3201,0.5123
0.3265,0.6461
0.3329,0.5061
0.3393,0.6154
0.3457,0.4659
0.3521,0.5603
0.3585,0.5438
0.3649,0.5223
0.3713,0.6162
0.3777,0.4994
0.3841,0.4535
0.3905,0.5085
0.3969,0.5530
0.4033,0.5527
0.4097,0.5170
0.4161,0.4083
0.4225,0.4898
0.4289,0.5422
0.4353,0.5207
0.4417,0.5522
0.4481,0.5195
0.4545,0.4904
0.4609,0.4992
0.4673,0.4553
0.4737,0.5461
0.4801,0.4793
0.4865,0.4579
0.4929,0.5973
0.4993,0.4059
0.5057,0.4257
0.5121,0.4648
0.5185,0.5407
0.5249,0.4371
0.5313,0.4737
0.5377,0.3941
0.5441,0.6455
0.5505,0.5417
0.5569,0.4738
0.5633,0.5590
0.5697,0.5957
0.5761,0.5021
0.5825,0.5241
0.5889,0.4933
0.5953,0.4670
0.6017,0.4895
0.6081,0.5408
0.6145,0.4738
0.6209,0.4095
0.6273,0.4747
0.6337,0.4730
0.6401,0.4222
0.6465,0.5082
0.6529,0.4094
0.6593,0.4507
0.6657,0.5024
0.6721,0.4907
0.6785,0.5410
0.6849,0.4823
0.6913,0.4797
0.6977,0.5624
0.7041,0.4493
0.7105,0.4689
0.7169,0.3353
0.7233,0.4059
0.7297,0.5145
0.7361,0.4289
