time,absorbance
0.0000,0.5040
0.0070,0.4735
0.0140,0.5278
0.0210,0.4604
0.0280,0.4484
0.0350,0.5139
0.0420,0.4867
0.0490,0.4840
0.0560,0.5803
0.0630,0.5223
0.0700,0.5652
0.0770,0.5357
0.0840,0.4646
0.0910,0.5557
0.0980,0.4937
0.1050,0.3708
0.1120,0.6092
0.1190,0.4997
0.1260,0.5748
0.1330,0.4399
0.1400,0.5961
0.1470,0.4448
0.1540,0.5351
0.1610,0.5785
0.1680,0.5263
0.1750,0.5447
0.1820,0.4887
0.1890,0.4552
0.1960,0.4548
0.2030,0.5020
0.2100,0.4185
0.2170,0.4412
0.2240,0.5195
0.2310,0.5066
0.2380,0.5399
0.2450,0.4795
0.2521,0.6138
0.2591,0.5968
0.2661,0.5052
0.2731,0.5230
0.2801,0.4204
0.2871,0.4997
0.2941,0.4433
0.3011,0.4538
0.3081,0.5600
0.3151,0.5857
0.3221,0.5494
0.3291,0.4755
0.3361,0.4936
0.3431,0.4709
0.3501,0.4944
0.3571,0.4881
0.3641,0.4518
0.3711,0.4649
0.3781,0.5259
0.3851,0.5044
0.3921,0.4525
0.3991,0.4479
0.4061,0.4046
0.4131,0.4640
0.4201,0.4928
0.4271,0.4584
0.4341,0.5005
0.4411,0.5242
0.4481,0.4433
0.4551,0.4783
0.4621,0.5793
0.4691,0.4796
0.4761,0.5018
0.4831,0.4718
0.4901,0.5198
0.4971,0.4424
0.5041,0.4913
0.5111,0.4123
0.5181,0.3350
0.5251,0.4175
0.5321,0.4895
0.5391,0.5392
0.5461,0.4617
0.5531,0.4584
0.5601,0.4751
0.5671,0.6042
0.5741,0.5539
0.5811,0.5263
0.5881,0.5105
0.5951,0.4646
0.6021,0.4423
0.6091,0.5108
0.6161,0.4921
0.6231,0.4612
0.6301,0.5211
0.6371,0.6239
0.6441,0.5571
0.6511,0.4867
0.6581,0.5420
0.6651,0.4883
0.6721,0.6175
0.6791,0.4452
0.6861,0.4429
0.6931,0.5229
0.7001,0.5712
0.7071,0.5037
0.7141,0.5501
0.7211,0.4507
0.7281,0.4572
0.7351,0.4748
0.7421,0.4889
0.7491,0.4469
0.7562,0.5595
0.7632,0.4718
0.7702,0.4166
0.7772,0.5135
0.7842,0.3951
0.7912,0.4819
0.7982,0.5251
0.8052,0.4374
0.8122,0.5227
0.8192,0.5205
0.8262,0.4177
0.8332,0.5786
0.8402,0.4937
0.8472,0.5692
0.8542,0.4681
0.8612,0.5238
0.8682,0.4995
0.8752,0.5759
0.8822,0.5463
0.8892,0.5374
0.8962,0.5376
0.9032,0.4530
0.9102,0.5119
0.9172,0.5729
0.9242,0.3706
0.9312,0.4368
0.9382,0.4909
0.9452,0.4704
0.9522,0.4421
0.9592,0.4116
0.9662,0.5689
0.9732,0.5139
0.9802,0.4512
0.9872,0.4074
0.9942,0.5001
1.0012,0.4526
1.0082,0.4057
1.0152,0.3868
1.0222,0.4124
1.0292,0.5663
1.0362,0.4631
1.0432,0.4995
1.0502,0.5612
1.0572,0.5236
1.0642,0.4979
1.0712,0.5183
1.0782,0.4912
1.0852,0.5709
1.0922,0.4854
1.0992,0.4749
1.1062,0.5306
1.1132,0.4291
1.1202,0.4940
1.1272,0.5114
1.1342,0.5502
1.1412,0.4772
1.1482,0.5374
1.1552,0.5085
1.1622,0.5190
1.1692,0.5145
1.1762,0.4491
1.1832,0.4540
1.1902,0.4828
1.1972,0.5253
1.2042,0.5256
1.2112,0.5682
1.2182,0.5589
1.2252,0.5009
1.2322,0.4428
1.2392,0.5900
1.2462,0.3794
1.2533,0.4459
1.2603,0.5118
1.2673,0.3998
1.2743,0.4894
1.2813,0.6853
1.2883,0.5113
1.2953,0.5155
1.3023,0.5215
1.3093,0.4218
1.3163,0.5300
1.3233,0.4485
1.3303,0.3360
1.3373,0.3813
1.3443,0.4765
1.3513,0.4790
1.3583,0.5576
1.3653,0.5816
1.3723,0.4742
1.3793,0.4738
1.3863,0.4720
1.3933,0.4738
1.4003,0.4875
1.4073,0.5456
1.4143,0.4207
1.4213,0.6000
1.4283,0.4517
1.4353,0.4703
1.4423,0.4488
1.4493,0.5465
1.4563,0.5056
1.4633,0.5444
1.4703,0.4671
1.4773,0.5169
1.4843,0.4446
1.4913,0.5896
1.4983,0.3612
1.5053,0.4994
1.5123,0.3952
1.5193,0.5855
1.5263,0.4271
1.5333,0.5065
1.5403,0.5489
1.5473,0.5849
1.5543,0.4351
1.5613,0.4583
1.5683,0.4739
1.5753,0.4780
1.5823,0.4951
1.5893,0.5142
1.5963,0.5335
1.6033,0.4823
1.6103,0.5271
1.6173,0.5279
1.6243,0.4962
1.6313,0.5583
1.6383,0.5159
1.6453,0.5473
1.6523,0.6497
1.6593,0.5060
1.6663,0.4813
1.6733,0.5031
1.6803,0.5007
1.6873,0.5718
1.6943,0.5240
1.7013,0.5364
1.7083,0.4568
1.7153,0.4081
1.7223,0.4890
1.7293,0.4858
1.7363,0.5726
1.7433,0.4649
1.7504,0.4664
1.7574,0.3856
1.7644,0.4303
1.7714,0.4715
1.7784,0.5391
1.7854,0.4583
1.7924,0.4982
1.7994,0.5344
1.8064,0.5458
1.8134,0.4892
1.8204,0.4523
1.8274,0.4685
1.8344,0.4965
1.8414,0.4575
1.8484,0.5849
1.8554,0.4532
1.8624,0.4437
1.8694,0.4901
1.8764,0.5224
1.8834,0.6908
1.8904,0.5618
1.8974,0.5349
1.9044,0.4706
1.9114,0.4234
1.9184,0.3953
1.9254,0.5329
1.9324,0.5338
1.9394,0.4810
1.9464,0.5813
1.9534,0.5036
1.9604,0.6668
1.9674,0.4679
1.9744,0.5166
1.9814,0.5153
1.9884,0.6042
1.9954,0.5680
2.0024,0.4896
2.0094,0.4053
2.0164,0.5653
2.0234,0.5371
2.0304,0.5710
2.0374,0.5643
2.0444,0.4625
2.0514,0.4063
2.0584,0.5466
2.0654,0.4467
2.0724,0.4856
2.0794,0.4320
2.0864,0.5896
2.0934,0.3892
2.1004,0.4337
2.1074,0.4870
2.1144,0.5057
2.1214,0.5635
2.1284,0.5348
2.1354,0.5159
2.1424,0.4681
2.1494,0.6140
2.1564,0.4984
2.1634,0.5185
2.1704,0.3621
2.1774,0.4922
2.1844,0.5238
2.1914,0.4596
2.1984,0.3848
2.2054,0.4374
2.2124,0.5859
2.2194,0.6362
2.2264,0.4610
2.2334,0.4833
2.2404,0.5839
2.2474,0.5107
2.2545,0.5351
2.2615,0.5116
2.2685,0.5507
2.2755,0.5568
2.2825,0.5048
2.2895,0.3491
2.2965,0.4252
2.3035,0.5261
2.3105,0.5695
2.3175,0.5762
2.3245,0.5325
2.3315,0.3681
2.3385,0.5605
2.3455,0.4094
2.3525,0.5158
2.3595,0.5250
2.3665,0.6390
2.3735,0.4895
2.3805,0.6145
2.3875,0.5841
2.3945,0.5129
2.4015,0.4444
2.4085,0.4523
2.4155,0.5044
2.4225,0.5114
2.4295,0.4734
2.4365,0.5038
2.4435,0.5844
2.4505,0.5204
2.4575,0.3501
2.4645,0.5289
2.4715,0.5252
2.4785,0.4975
2.4855,0.5576
2.4925,0.6248
2.4995,0.4301
2.5065,0.5075
2.5135,0.4921
2.5205,0.4885
2.5275,0.5092
2.5345,0.6095
2.5415,0.5613
2.5485,0.5142
2.5555,0.4138
2.5625,0.4226
2.5695,0.5848
2.5765,0.4901
2.5835,0.4538
2.5905,0.5091
2.5975,0.5636
2.6045,0.5638
2.6115,0.5297
2.6185,0.5800
2.6255,0.5792
2.6325,0.5292
