time,absorbance
0.000,3.0472
0.020,0.0000
0.040,7.5045
0.060,9.4056
0.080,0.0000
0.100,0.0000
0.120,1.2784
0.140,0.0000
0.160,0.0000
0.180,0.0000
0.200,8.7940
0.220,7.7779
0.240,0.6603
0.260,11.2724
0.280,4.6751
0.300,0.0000
0.320,3.6875
0.340,0.0000
0.360,8.7845
0.380,0.0000
0.400,0.0000
0.420,0.0000
0.440,12.2254
0.460,0.0000
0.480,0.0000
0.500,0.0000
0.520,5.3231
0.540,3.6544
0.560,4.1273
0.580,4.3082
0.600,21.4165
0.620,0.0000
0.640,0.0000
0.660,0.0000
0.680,6.1598
0.700,11.2897
0.720,0.0000
0.740,0.0000
0.760,0.0000
0.780,6.5059
0.800,7.4325
0.820,5.4315
0.840,0.0000
0.860,2.3216
0.880,1.1669
0.900,2.1869
0.920,8.7143
0.940,2.2360
0.960,6.7891
0.980,0.6758
1.000,2.8912
1.020,6.3129
1.040,0.0000
1.060,0.0000
1.080,0.0000
1.100,0.0000
1.120,0.0000
1.140,14.9494
1.160,0.0000
1.180,9.6828
1.200,0.0000
1.220,0.0000
1.240,1.6275
1.260,5.8622
1.280,7.1123
1.300,7.9335
1.320,0.0000
1.340,0.0000
1.360,8.5798
1.380,0.0000
1.400,0.0000
1.420,0.0000
1.440,0.0000
1.460,4.9716
1.480,1.4243
1.500,6.9049
1.520,0.0000
1.540,1.5854
1.560,6.2559
1.580,0.0000
1.600,4.5678
1.620,0.0000
1.640,0.0000
1.660,0.0000
1.680,0.0000
1.700,4.8697
1.720,0.0000
1.740,0.1249
1.760,4.8075
1.780,4.4653
1.800,6.6539
1.820,0.0000
1.840,0.0000
1.860,0.0000
1.880,0.0000
1.900,0.0000
1.920,0.0000
1.940,0.0000
1.960,3.9977
1.980,0.0000
2.000,0.0000
2.020,12.9923
2.040,0.0000
2.060,7.3752
2.080,0.0000
2.100,0.0000
2.120,0.0000
2.140,0.0000
2.160,8.4031
2.180,0.0000
2.200,4.3442
2.220,2.3774
2.240,0.0000
2.260,0.0000
2.280,0.7213
2.300,0.0000
2.320,2.3268
2.340,0.2185
2.360,16.0178
2.380,0.0000
2.400,0.0000
2.420,1.7928
2.440,2.2000
2.460,13.5919
2.480,8.3511
2.500,3.5687
2.520,14.6330
2.540,0.0000
2.560,0.0000
2.580,0.0000
2.600,0.0000
2.620,0.0000
2.640,6.3515
2.660,0.0000
2.680,0.0000
2.700,0.0000
2.720,3.1351
2.740,8.3813
2.760,19.9673
2.780,29.1386
2.800,4.1441
2.820,0.0000
2.840,0.0000
2.860,2.6771
2.880,0.0000
2.900,0.0000
2.920,0.0000
2.940,0.0000
2.960,10.6598
2.980,1.5705
3.000,0.0000
3.020,0.0000
3.040,0.0000
3.060,0.0000
3.080,0.0000
3.100,17.6793
3.120,1.3027
3.140,9.8274
3.160,0.0000
3.180,0.0000
3.200,0.0000
3.220,0.0000
3.240,21.2847
3.260,0.0000
3.280,8.3849
3.300,0.0000
3.320,9.3157
3.340,3.8495
3.360,0.0000
3.380,0.0000
3.400,0.0000
3.420,4.4607
3.440,0.0000
3.460,0.0000
3.480,0.0000
3.500,1.7259
3.520,15.7909
3.540,1.5999
3.560,0.0000
3.580,2.8583
3.600,13.0600
3.620,2.1938
3.640,0.0000
3.660,11.0629
