retention_time	intensity
0.0000	21.523585
0.0200	14.833413
0.0400	23.818921
0.0600	24.802817
0.0800	10.378142
0.1000	13.655738
0.1200	20.839149
0.1400	18.652036
0.1600	20.182534
0.1800	16.034600
0.2000	24.730076
0.2200	24.255298
0.2400	20.729727
0.2600	26.068997
0.2800	22.803536
0.3000	16.202705
0.3200	22.376076
0.3400	15.771041
0.3600	24.990813
0.3800	20.382012
0.4000	19.740381
0.4200	17.293068
0.4400	26.843414
0.4600	19.991019
0.4800	18.654952
0.5000	19.068813
0.5200	23.523879
0.5400	22.722368
0.5600	22.991586
0.5800	23.114761
0.6000	31.701585
0.6200	18.993918
0.6400	18.497381
0.6600	17.022284
0.6800	24.203551
0.7000	26.800970
0.7200	20.618776
0.7400	17.020082
0.7600	17.130755
0.7800	24.538367
0.8000	25.033858
0.8200	24.065484
0.8400	18.054230
0.8600	22.574589
0.8800	22.029153
0.9000	22.571044
0.9200	25.866556
0.9400	22.659135
0.9600	24.967401
0.9800	21.942334
1.0000	23.081570
1.0200	24.823877
1.0400	14.413044
1.0600	20.131780
1.0800	19.409508
1.1000	18.598139
1.1200	20.447895
1.1400	29.329309
1.1600	17.556361
1.1800	26.757738
1.2000	13.532743
1.2200	20.303325
1.2400	22.822086
1.2600	24.969914
1.2800	25.625326
1.3000	26.066228
1.3200	20.386072
1.3400	19.848049
1.3600	26.479704
1.3800	21.263228
1.4000	15.871176
1.4200	16.613082
1.4400	17.712718
1.4600	24.828736
1.4800	23.097337
1.5000	25.911176
1.5200	20.491341
1.5400	23.854023
1.5600	27.293335
1.5800	25.264559
1.6000	34.953839
1.6200	41.255875
1.6400	64.805734
1.6600	101.920111
1.6800	154.716512
1.7000	241.387649
1.7200	332.635238
1.7400	438.344185
1.7600	534.791164
1.7800	601.031559
1.8000	626.150138
1.8200	598.361498
1.8400	530.380981
1.8600	438.048179
1.8800	326.765641
1.9000	231.992285
1.9200	154.412259
1.9400	99.227583
1.9600	69.059845
1.9800	40.533014
2.0000	31.328967
2.0200	33.912137
2.0400	23.043628
2.0600	27.463299
2.0800	18.728711
2.1000	22.255522
2.1200	18.513788
2.1400	21.581146
2.1600	27.499548
2.1800	14.685547
2.2000	25.518916
2.2200	24.560127
2.2400	20.425232
2.2600	16.190081
2.2800	23.805255
2.3000	20.821228
2.3200	24.656003
2.3400	23.625658
2.3600	31.548910
2.3800	22.366699
2.4000	18.469293
2.4200	24.506302
2.4400	24.732891
2.4600	30.451667
2.4800	27.853945
2.5000	25.485240
2.5200	31.039730
2.5400	17.801566
2.5600	20.568623
2.5800	19.156333
2.6000	21.861827
2.6200	16.948940
2.6400	27.029449
2.6600	22.763733
2.6800	16.541796
2.7000	18.838739
2.7200	25.504837
2.7400	28.148359
2.7600	33.961663
2.7800	38.567426
2.8000	26.090088
2.8200	19.090100
2.8400	13.397129
2.8600	25.415307
2.8800	20.031252
2.9000	22.038198
2.9200	21.073343
2.9400	23.448532
2.9600	29.500863
2.9800	24.974494
3.0000	23.414181
3.0200	19.047003
3.0400	15.869585
3.0600	21.829001
3.0800	24.008978
3.1000	33.134701
3.1200	24.963394
3.1400	29.242497
3.1600	21.848907
3.1800	18.437059
3.2000	19.552392
3.2200	20.767850
3.2400	35.052138
3.2600	20.318468
3.2800	28.633264
3.3000	19.941401
3.3200	29.128923
3.3400	26.410634
3.3600	23.717313
3.3800	24.311112
3.4000	21.255208
3.4200	26.773528
3.4400	22.282069
3.4600	18.442574
3.4800	18.194328
3.5000	25.460164
3.5200	32.505686
3.5400	25.422988
3.5600	24.042433
3.5800	26.077144
3.6000	31.190204
3.6200	25.769083
3.6400	22.629302
3.6600	30.226940
3.6800	26.850629
3.7000	32.396769
3.7200	25.645093
3.7400	18.617300
3.7600	17.909370
3.7800	33.015142
3.8000	33.389047
3.8200	23.883419
3.8400	22.876055
3.8600	32.112561
3.8800	19.290337
3.9000	20.390385
3.9200	28.164329
3.9400	23.164086
3.9600	25.534444
3.9800	25.652876
4.0000	30.026890
4.0200	39.024696
4.0400	39.195465
4.0600	53.810884
4.0800	60.003443
4.1000	100.844787
4.1200	142.488441
4.1400	204.147024
4.1600	288.935405
4.1800	393.251918
4.2000	514.973518
4.2200	624.575451
4.2400	745.754962
4.2600	837.882084
4.2800	901.359673
4.3000	929.966623
4.3200	905.697751
4.3400	847.008192
4.3600	744.856680
4.3800	627.764239
4.4000	509.320379
4.4200	396.189817
4.4400	294.272958
4.4600	204.892197
4.4800	147.239210
4.5000	102.320806
4.5200	82.942072
4.5400	60.084921
4.5600	34.594935
4.5800	30.678079
4.6000	21.158610
4.6200	23.662444
4.6400	27.293048
4.6600	31.330422
4.6800	21.475384
4.7000	21.775454
4.7200	14.280337
4.7400	24.192268
4.7600	19.689211
4.7800	22.352132
