进样,样品名称,示例,混梯,样品瓶,采集日期,面积,处理通道说明,2998 PDA 245.0 纳米 (2998 (190-400) 纳米),2998 PDA 248.0 纳米 (2998 (190-400) 纳米),2998 PDA 250.0 纳米 (2998 (190-400) 纳米),2998 PDA 254.0 纳米 (2998 (190-400) 纳米),处理通道说明,纳米,纳米
1, ,10
2, 2024/01/01 10:00:00 ,CST
: 2998 ,PDA 245.0 , (2998 (190-400) ,)
#,#
1,1151732
2,950719
3,817538
4,760426
5,1008066
6,1274661
7,1128809
8,898103
9,911000
: 2998 ,PDA 248.0 , (2998 (190-400) ,)
#,#
1,1043665
2,838859
3,994168
4,1176586
5,976654
6,1138067
7,662652
8,1162325
9,1414167
: 2998 ,PDA 250.0 , (2998 (190-400) ,)
#,#
1,949193
2,1044589
3,963841
4,960317
5,1327928
6,1048302
7,1021045
8,979697
9,862381
: 2998 ,PDA 254.0 , (2998 (190-400) ,)
#,#
1,953990
2,980900
3,1060616
4,685905
5,1233589
6,684513
7,812598
8,1091798
9,1132062
